,index,id,true_states,true_parameters,time_start,time_end,time_count,name,noise,finished,has_result,software,result,time
66,13,vanderpol_1_1em4,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,0.0001,True,True,odepe,"[['a', '0.432342859790855', '0.44190583346801177', '0.43822960318192666', '0.4389674375070952'], ['b', '0.5952803556456705', '0.5956739135679869', '0.6156835636700293', '0.6170717309600348'], ['x1', '0.4529955437513959', '0.44648338423385986', '0.45044447060103177', '0.45002752683249997'], ['x2', '0.824291122600924', '0.8187230475511289', '0.8138839496696886', '0.8129947100575711']]",113.36214113235474
67,13,vanderpol_1_1em4,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,0.0001,True,True,sciml,"[['a', '0.43899273188650545'], ['b', '0.6169814097706711'], ['x1', '0.4500041673247567'], ['x2', '0.8130099825634429']]",111.27013516426086
68,13,vanderpol_1_1em4,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,0.0001,False,False,iqm,,
69,13,vanderpol_1_1em4,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,0.0001,False,False,amigo2,,
70,14,fitzhugh_nagumo_0_1em4,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,0.0001,True,True,pe,"[['g', '0.7994397397867908'], ['a', '0.47698897580166566'], ['b', '0.6023899139422054'], ['VV', '0.5049906574273224'], ['R', '0.7227561269897566']]",113.90307235717773
71,14,fitzhugh_nagumo_0_1em4,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,0.0001,True,True,odepe,"[['g', '-0.04314957631876623', '-0.01761152323358307', '-0.07208710327023353', '0.30854421605521554', '0.9210711865851818', '0.8548416863768588', '0.7994397397867623'], ['a', '0.3494709702352564', '358.2133430023981', '4.922672725333487', '3.7749303813984865', '0.6992634182417532', '0.42101808874439883', '0.4769889758121809'], ['b', '0.14706830349314376', '-6.129309782508791', '-0.13302007906288757', '0.37853365144816997', '0.8344893221717823', '0.6984891543619169', '0.6023899139413053'], ['VV', '-17.69099440224476', '1.142487009309806', '0.5800219337451347', '-0.005086239289148167', '-0.03134853534271608', '0.5183532985970002', '0.504990657422342'], ['R', '-2548.3357877596404', '-58.25581563684857', '-26.391217843990926', '7.2086380338217735', '1.1121482538898453', '0.5911915191859796', '0.7227561270021683']]",129.29579615592957
72,14,fitzhugh_nagumo_0_1em4,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,0.0001,True,True,sciml,"[['g', '0.8713385121382531'], ['a', '0.4068597308761298'], ['b', '0.7336384856434193'], ['VV', '0.5230225461377057'], ['R', '0.5534627035210594']]",113.56334447860718
73,14,fitzhugh_nagumo_0_1em4,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,0.0001,False,False,iqm,,
74,14,fitzhugh_nagumo_0_1em4,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,0.0001,False,False,amigo2,,
75,15,fitzhugh_nagumo_1_1em4,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.0001,True,True,pe,"[['g', '0.9269472365334908'], ['a', '0.5587785704571914'], ['b', '0.5835643820334522'], ['VV', '0.1107451110868972'], ['R', '0.7086413307566661']]",106.51819705963135
